StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q4,Q5,Q8_First Click,Q8_Last Click,Q8_Page Submit,Q8_Click Count,Q6,Q7
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"To start, we would like to know about your position at the University of Utah. Please select all that apply. - Career-line faculty","To start, we would like to know about your position at the University of Utah. Please select all that apply. - Graduate student","To start, we would like to know about your position at the University of Utah. Please select all that apply. - Postbaccalaureate scholar","To start, we would like to know about your position at the University of Utah. Please select all that apply. - Postdoctoral scholar","To start, we would like to know about your position at the University of Utah. Please select all that apply. - Staff","To start, we would like to know about your position at the University of Utah. Please select all that apply. - Tenure-track faculty","To start, we would like to know about your position at the University of Utah. Please select all that apply. - Undergraduate student",With what department(s) or unit(s) at the University of Utah are you affiliated?,"Next, we want to know how familiar you are with research development. As a reminder, we have included the definition of research development from the National Organization of Research Development Professionals (NORDP) below. We have also included some examples of day-to-day activities in which Research Development (RD) professionals engage.



Research Development (RD) encompasses a set of strategic, catalytic, and capacity-building activities that advance research, especially in higher education. Research Development professionals help researchers become more successful communicators, grant writers, and advocates for their research. They help researchers bring new ideas to life.



Examples of day-to-day activities of a RD professional:

	Meeting with researchers to discuss how their work aligns with current funding opportunities
	Organizing networking and team-building events in response to new funding opportunities
	Building and maintaining relationships with community organizations and industry partners
	Connecting disparate groups on campus to share tools and resources for research and proposal development
	Helping researchers develop business plans to commercialize research products


With this definition and the examples in mind, please tell us how familiar you are with careers in Research Development.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,And how interested are you in Research Development as a career?,"If you would like, please tell us a little more about your familiarity and interest in Research Development careers. There is a text box below in which you can write in any response."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_FIRST_CLICK""}","{""ImportId"":""QID2_LAST_CLICK""}","{""ImportId"":""QID2_PAGE_SUBMIT""}","{""ImportId"":""QID2_CLICK_COUNT""}","{""ImportId"":""QID3"",""choiceId"":""1""}","{""ImportId"":""QID3"",""choiceId"":""2""}","{""ImportId"":""QID3"",""choiceId"":""3""}","{""ImportId"":""QID3"",""choiceId"":""4""}","{""ImportId"":""QID3"",""choiceId"":""5""}","{""ImportId"":""QID3"",""choiceId"":""6""}","{""ImportId"":""QID3"",""choiceId"":""7""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID8_FIRST_CLICK""}","{""ImportId"":""QID8_LAST_CLICK""}","{""ImportId"":""QID8_PAGE_SUBMIT""}","{""ImportId"":""QID8_CLICK_COUNT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7_TEXT""}"
2025-05-05 14:58:29,2025-05-05 14:59:02,IP Address,155.98.131.5,100,32,True,2025-05-05 14:59:02,R_5kGLQYYLO62B9qg,,,,,40.761,-111.8611,qr,EN,0.586,4.639,5.222,4,,Graduate student,,,,,,"Medicine, genetics",Slightly familiar,0.707,8.189,8.817,9,Extremely interested,
2025-05-05 14:58:22,2025-05-05 14:59:33,IP Address,174.201.44.52,100,70,True,2025-05-05 14:59:33,R_7M69qpTZAdATuTy,,,,,40.6119,-111.9007,qr,EN,1.512,4.778,7.423,2,,Graduate student,,,,,,Neurobiology,Slightly familiar,2.584,32.855,33.45,4,Moderately interested,
2025-05-05 14:58:32,2025-05-05 15:00:16,IP Address,155.98.131.1,100,104,True,2025-05-05 15:00:17,R_1xPnsdTIGxdFjyT,,,,,40.761,-111.8611,qr,EN,2.772,12.023,13.601,3,,Graduate student,,,,,,Molecular Pharmaceutics,Moderately familiar,3.024,59.103,59.818,17,Very interested,
2025-05-05 14:58:30,2025-05-05 15:00:21,IP Address,155.98.131.0,100,110,True,2025-05-05 15:00:21,R_13TClB3mJvadQeS,,,,,40.761,-111.8611,qr,EN,1.36,6.308,7.263,4,,Graduate student,,,,,,"Neurobiology, Pediatric Neurology",Moderately familiar,2.09,72.045,72.836,16,Extremely interested,
2025-05-05 14:59:19,2025-05-05 15:00:23,IP Address,155.98.131.4,100,64,True,2025-05-05 15:00:23,R_3sz5J9bzWGbnwTc,,,,,40.761,-111.8611,qr,EN,0.754,2.859,18.637,3,,,,Postdoctoral scholar,,,,"Science Research Initiative ",Not familiar at all,1.209,23.891,24.547,8,Slightly interested,
2025-05-05 14:58:28,2025-05-05 15:00:30,IP Address,172.59.152.176,100,122,True,2025-05-05 15:00:30,R_68gGdudpgBqtCyB,,,,,40.75,-111.9209,qr,EN,10.06,15.561,34.801,2,,Graduate student,,,,,,,Moderately familiar,16.576,47.542,48.295,10,Slightly interested,
2025-05-05 14:58:56,2025-05-05 15:00:31,IP Address,155.98.131.0,100,95,True,2025-05-05 15:00:32,R_6YMD0fr3ksLykmd,,,,,40.761,-111.8611,qr,EN,4.405,4.405,7.7,1,Career-line faculty,,,,,,,Biomedical informatics & College of nursing,Moderately familiar,0.974,37.38,38.201,7,Not interested at all,
2025-05-05 14:58:25,2025-05-05 15:20:28,IP Address,172.59.154.31,100,1322,True,2025-05-05 15:20:28,R_1H0G7a02RU0iQJ7,,,,,40.761,-111.8611,qr,EN,2.65,12.512,14.977,6,,Graduate student,,,,,,Biochemistry,Slightly familiar,1.455,133.823,136.176,10,Not interested at all,"I only knew one guy who did this for a tech company. It sounded stressful and like it would require a lot of putting yourself out there. "
